Company,Nanoparticles,Platform Type,Price per Substrate (EUR),Enhancement Factor (EF),Patents,Technical Notes,Website,Prices Seen on Page,Stock Alerts,Last Change Detected,Last Checked,Page Status
nanoSpec Technologies,Plasmonic (reproducible),Rigid,Internal,Internal,Internal (EP24174583.5 pending),THIS IS US - reference row; reproducible batch-to-batch SERS (RamanEdge),https://www.nanospec.tech/,(none listed),-,,2026-07-31,OK
SERSitive,Gold and silver nanostructures,Rigid (ITO and glass),23 - 35,10^5 - 10^6,5,"Balances EF and affordability, targeting small labs",https://sersitive.eu,€0.00; €23.00; €28.00; €50.00; €60.00; €35.00,-,,2026-07-31,OK
Silmeco,Gold and silver nanostructures,Rigid (silicon substrate),70,10^8 - 10^9,Not stated,High EF due to consistent nanostructure quality,https://silmeco.com,(none listed),-,,2026-07-31,OK
HORIBA,Selling Silmeco (resold),-,-,-,-,Resells Silmeco substrates; one-stop Raman vendor,https://www.horiba.com/usa/scientific/products/detail/action/show/Product/sers-substrates-1-6574/,(none listed),-,,2026-07-31,OK
Thorlabs (RCT4M),Gold structures,Rigid (fused quartz),41 - 44,Not specified,Not stated,~2 years in market; single SKU,https://www.thorlabs.com/thorproduct.cfm?partnumber=RCT4M,(none listed),discontinued,2026-07-24,2026-07-31,OK
Ocean Optics,"Gold, silver, gold-silver nanosponge",Rigid (glass),~11.7 - 13.1,Not specified,Not stated,CONFIRMED ACTIVE Jul 2026 (colleague sheet marked discontinued - now corrected),https://www.oceanoptics.com/accessories/sampling-accessories/sers-substrates/,(none listed),-,,2026-07-31,OK
Real-Time Analyzers,Sol-gel plasmonic nanoparticles,"Rigid (capillaries, vials, microplates)",Not listed,10^6,Not stated,Targets small-scale applications with plasmonic design,http://www.rta.biz/products/sers-products/,(none listed),-,,2026-07-31,OK — minor edits
StellarNet,Gold nanoparticles,Paper-based,5,Not specified,Not stated,"Budget-conscious, flexible SERS research",https://www.stellarnet.us/spectrometers-accessories/sers-substrates/,(none listed),-,,2026-07-31,OK
S.T. Japan,Arrays of gold nanorods,Rigid (glass),Not listed,10^4 - 10^6,Not stated,Academic research and prototyping,https://www.stjapan.de/products-1/accessories/raman-sers-substrates/,(none listed),-,,2026-07-31,OK
Metrohm m-oem (P-SERS),Gold and silver nanoparticles,Paper-based,Not listed,10^6,Patented inkjet process,General SERS applications; tied to Metrohm handheld ecosystem,https://m-oem.myshopify.com/pages/sers-substrates,(none listed),-,2026-07-29,2026-07-31,OK
Ato ID (discontinued),Gold and silver nanostructures,Rigid (glass),15,10^6 - 10^7,Yes,DISCONTINUED - RandaS/MatoS off-market; Integrated Optics pivoted to lasers,https://integratedoptics.com/sers-substrates/sers-substrate-matos,,,,2026-07-02,baseline
Hamamatsu (discontinued),Gold nanostructures,Rigid (polypropylene slides),Not listed,Not specified,Not stated,DISCONTINUED - exited SERS-substrate niche,https://www.hamamatsu.com,,,,2026-07-02,baseline
Enhanced Spectrometry (verify),Silver nanoparticles,Rigid (glass and silicon),Not listed,10^6,Not stated,Emphasis on affordability and reproducibility; confirm still trading,-,,,,2026-07-02,baseline
Nanova Inc. (verify),Gold nanoparticles,Rigid (silicon substrates),~22.8,10^6 - 10^7,Not stated,Promising sensitivity on scalable silicon; possible name clash w/ dental-materials Nanova,-,,,,2026-07-02,baseline
PHORNANO,"Gold & silver (HighQuant, monodisperse)",Rigid (with signal-enhancing heat sink),Not listed,Not stated (high sensitivity via LSPR),Not stated,"Extremely high laser damage threshold >3 kW/cm2 (>500 mW at 150 um spot); strong batch-to-batch reproducibility; ref. Mayr et al. 2023, Anal. Sci. Adv.",https://www.phornano.com/4n4sers,(none listed),-,,2026-07-31,OK
